a,b,a_radius,b_radius,a_lat,a_lng,b_lat,b_lng,local_remote
9717068_R1,9717068_R2,100,100,49.25,-123.1333,51.5558,-1.7797,0
9729396_L,9729396_R1,100,100,51.5,-1.25,40.4182,-3.7091,1
9807652_L,9807652_R1,100,100,51.5167,-0.7,49.25,-123.1333,1
9807652_L,9807652_R2,100,100,51.5167,-0.7,12.9833,77.5833,1
9807652_R1,9807652_R2,100,100,49.25,-123.1333,12.9833,77.5833,0
9843479_L,9843479_R1,100,100,51.5,-1.25,40.4182,-3.7091,1
9894535_L,9894535_R1,100,100,51.3794,-2.3656,42.1783,-87.9978,1
9894535_L,9894535_R2,100,100,51.3794,-2.3656,37.5483,-121.9875,1
9894535_R1,9894535_R2,100,100,42.1783,-87.9978,37.5483,-121.9875,0
7818308_L,7818308_R1,100,100,42.3278,-71.2278,35.0844,-106.6506,1
8190437_L,8190437_R1,100,100,42.3317,-71.1217,52.2048,0.1095,1
8332223_L,8332223_R1,100,100,42.3317,-71.1217,52.2048,0.1095,1
8386263_L,8386263_R1,100,100,42.3317,-71.1217,52.2048,0.1095,1
8620657_L,8620657_R1,100,100,42.3317,-71.1217,52.2048,0.1095,1
9368109_L,9368109_R1,100,100,45.1333,7.2333,42.4183,-71.1067,1
9373330_L,9373330_R1,100,100,45.1333,7.2333,42.4183,-71.1067,1
9728191_L,9728191_R1,100,100,45.05,7.6667,42.4183,-71.1067,1
9865266_L,9865266_R1,100,100,45.1333,7.2333,42.4183,-71.1067,1
8032031_L,8032031_R1,100,100,41.9142,-88.3087,30.3494,-97.37,1
9259745_L,9259745_R1,100,100,43.55,-96.7,30.3494,-97.37,1
9584625_L,9584625_R1,100,100,44.0806,-103.2306,30.2669,-97.7428,1
9691237_L,9691237_R1,100,100,30.2669,-97.7428,40.0725,-74.7211,1
8986375_L,8986375_R1,100,100,44.98,-93.2636,38.4406,-122.7133,1
8986375_L,8986375_R2,100,100,44.98,-93.2636,53.2969,-8.9936,1
8986375_R1,8986375_R2,100,100,38.4406,-122.7133,53.2969,-8.9936,0
9066801_L,9066801_R1,100,100,32.032,34.8565,45.105,-93.2083,1
9066801_L,9066801_R2,100,100,32.032,34.8565,33.6694,-117.8222,1
9066801_R1,9066801_R2,100,100,45.105,-93.2083,33.6694,-117.8222,0
9072602_L,9072602_R1,100,100,45.105,-93.2083,32.3329,34.8599,1
9072603_L,9072603_R1,100,100,32.2696,34.8876,40.11393738,-89.1587677,1
9144493_L,9144493_R1,100,100,53.2969,-8.9936,32.3215,34.8532,1
9144493_L,9144493_R2,100,100,53.2969,-8.9936,38.4406,-122.7133,1
9144493_R1,9144493_R2,100,100,32.3215,34.8532,38.4406,-122.7133,0
9232995_L,9232995_R1,100,100,32.2696,34.8876,44.9133,-93.5031,1
9232995_L,9232995_R2,100,100,32.2696,34.8876,33.6694,-117.8222,1
9232995_R1,9232995_R2,100,100,44.9133,-93.5031,33.6694,-117.8222,0
9579197_L,9579197_R1,100,100,32.3329,34.8599,53.2969,-8.9936,1
9592120_L,9592120_R1,100,100,32.1658,34.8367,44.9133,-93.5031,1
9867698_L,9867698_R1,100,100,32.2696,34.8876,44.9133,-93.5031,1
9867698_L,9867698_R2,100,100,32.2696,34.8876,33.6694,-117.8222,1
9867698_R1,9867698_R2,100,100,44.9133,-93.5031,33.6694,-117.8222,0
9633472_L,9633472_R1,100,100,-36.8786,174.728,-27.471,153.0243,1
7276250_L,7276250_R1,100,100,41.5964,-73.9114,35.0867,-89.81,1
7711607_L,7711607_R1,100,100,37.2267,-121.9736,32.1848,34.8713,1
7853959_L,7853959_R1,100,100,37.2267,-121.9736,40.0439,-75.3881,1
7853959_L,7853959_R2,100,100,37.2267,-121.9736,32.1848,34.8713,1
7853959_R1,7853959_R2,100,100,40.0439,-75.3881,32.1848,34.8713,0
7958186_L,7958186_R1,100,100,37.4675,-122.1664,49.2842,8.7381,1
6427158_L,6427158_R1,100,100,32.2217,-110.9258,35.3711,139.2236,1
6538477_L,6538477_R1,100,100,32.2217,-110.9258,30.2669,-97.7428,1
6727752_L,6727752_R1,100,100,32.7833,-96.8,32.2217,-110.9258,1
6750641_L,6750641_R1,100,100,32.2217,-110.9258,53.55,-113.5,1
6844775_L,6844775_R1,100,100,32.2217,-110.9258,49.5897,11.0039,1
6897794_L,6897794_R1,100,100,30.2669,-97.7428,32.2217,-110.9258,1
7047263_L,7047263_R1,100,100,32.2217,-110.9258,30.2669,-97.7428,1
7403094_L,7403094_R1,100,100,32.2217,-110.9258,48.2841,11.5672,1
7425848_L,7425848_R1,100,100,49.5897,11.0039,32.2217,-110.9258,1
7449873_L,7449873_R1,100,100,49.5897,11.0039,32.2217,-110.9258,1
7466201_L,7466201_R1,100,100,32.2217,-110.9258,33.0197,-96.6986,1
7633280_L,7633280_R1,100,100,32.2217,-110.9258,30.6742,-96.3697,1
7705517_L,7705517_R1,100,100,32.2217,-110.9258,33.0197,-96.6986,1
7714552_L,7714552_R1,100,100,48.2841,11.5672,32.2217,-110.9258,1
7768351_L,7768351_R1,100,100,13.35,74.75,32.2217,-110.9258,1
7768351_L,7768351_R2,100,100,13.35,74.75,30.6742,-96.3697,1
7768351_R1,7768351_R2,100,100,32.2217,-110.9258,30.6742,-96.3697,0
7796060_L,7796060_R1,100,100,32.2217,-110.9258,33.0197,-96.6986,1
7813177_L,7813177_R1,100,100,32.2217,-110.9258,32.9481,-96.7294,1
7847637_L,7847637_R1,100,100,49.5897,11.0039,32.2217,-110.9258,1
8026177_L,8026177_R1,100,100,32.2217,-110.9258,33.0197,-96.6986,1
8053322_L,8053322_R1,100,100,33.1578,-96.6314,32.2217,-110.9258,1
8093115_L,8093115_R1,100,100,48.4,11.7333,32.2217,-110.9258,1
8114744_L,8114744_R1,100,100,33.0197,-96.6986,32.2217,-110.9258,1
8114779_L,8114779_R1,100,100,32.2217,-110.9258,33.0197,-96.6986,1
8115272_L,8115272_R1,100,100,32.2217,-110.9258,33.0197,-96.6986,1
8159207_L,8159207_R1,100,100,32.2217,-110.9258,30.6742,-96.3697,1
8178915_L,8178915_R1,100,100,32.8364,-96.4747,40.1278,-75.4322,1
8193683_L,8193683_R1,100,100,32.2217,-110.9258,33.0197,-96.6986,1
8253389_L,8253389_R1,100,100,32.7833,-96.8,32.2217,-110.9258,1
8452557_L,8452557_R1,100,100,48.55,9.2167,32.9761,-96.595,1
8482317_L,8482317_R1,100,100,33.015,-96.5386,32.2217,-110.9258,1
8493051_L,8493051_R1,100,100,33.6356,-96.6086,32.2217,-110.9258,1
8493077_L,8493077_R1,100,100,48.5,11.7667,32.2217,-110.9258,1
8514120_L,8514120_R1,100,100,33.0197,-96.6986,32.2217,-110.9258,1
8624568_L,8624568_R1,100,100,32.2217,-110.9258,33.015,-96.5386,1
8642370_L,8642370_R1,100,100,32.2217,-110.9258,32.9481,-96.7294,1
8652971_L,8652971_R1,100,100,32.9481,-96.7294,32.2217,-110.9258,1
8680839_L,8680839_R1,100,100,15.5833,75.7667,32.2217,-110.9258,1
8715192_L,8715192_R1,100,100,32.2217,-110.9258,33.0197,-96.6986,1
8716083_L,8716083_R1,100,100,32.8364,-96.4747,40.1278,-75.4322,1
8721550_L,8721550_R1,100,100,33.1031,-96.6703,32.2217,-110.9258,1
8729877_L,8729877_R1,100,100,33.015,-96.5386,32.2217,-110.9258,1
8736354_L,8736354_R1,100,100,48.1667,11.8167,33.2147,-97.1328,1
8797772_L,8797772_R1,100,100,32.2217,-110.9258,42.9464,-71.5164,1
8810311_L,8810311_R1,100,100,28.0833,-80.6083,32.2217,-110.9258,1
8831077_L,8831077_R1,100,100,33.0197,-96.6986,31.9575,-110.955,1
8831077_L,8831077_R2,100,100,33.0197,-96.6986,37.3861,-122.0828,1
8831077_R1,8831077_R2,100,100,31.9575,-110.955,37.3861,-122.0828,0
8836377_L,8836377_R1,100,100,32.2217,-110.9258,33.2147,-97.1328,1
8873644_L,8873644_R1,100,100,32.2217,-110.9258,48.15,11.5833,1
8890610_L,8890610_R1,100,100,32.2217,-110.9258,28.1758,-80.5903,1
8981445_L,8981445_R1,100,100,32.8364,-96.4747,40.1278,-75.4322,1
9054657_L,9054657_R1,100,100,33.2147,-97.1328,32.2217,-110.9258,1
9063559_L,9063559_R1,100,100,32.2217,-110.9258,33.0197,-96.6986,1
9064903_L,9064903_R1,100,100,32.8364,-96.4747,32.2217,-110.9258,1
9088334_L,9088334_R1,100,100,49.191,11.0132,33.2147,-97.1328,1
9128571_L,9128571_R1,100,100,32.2217,-110.9258,47.9447,-122.3033,1
9128571_L,9128571_R2,100,100,32.2217,-110.9258,42.7653,-71.4681,1
9128571_R1,9128571_R2,100,100,47.9447,-122.3033,42.7653,-71.4681,0
9157807_L,9157807_R1,100,100,32.2217,-110.9258,33.0197,-96.6986,1
9195341_L,9195341_R1,100,100,32.2217,-110.9258,37.775,-122.4183,1
9276638_L,9276638_R1,100,100,31.9575,-110.955,37.3861,-122.0828,1
9331734_L,9331734_R1,100,100,49.191,11.0132,33.0197,-96.6986,1
9331734_L,9331734_R2,100,100,49.191,11.0132,32.2217,-110.9258,1
9331734_R1,9331734_R2,100,100,33.0197,-96.6986,32.2217,-110.9258,0
9520861_L,9520861_R1,100,100,40.1278,-75.4322,33.0197,-96.6986,1
9634617_L,9634617_R1,100,100,32.2217,-110.9258,33.0197,-96.6986,1
9787362_L,9787362_R1,100,100,31.9575,-110.955,37.3861,-122.0828,1
9837973_L,9837973_R1,100,100,32.2217,-110.9258,28.1758,-80.5903,1
9119010_L,9119010_R1,100,100,46.3888,6.2393,39.8028,-105.0869,1
9179228_L,9179228_R1,100,100,46.3888,6.2393,39.8028,-105.0869,1
9210521_L,9210521_R1,100,100,40.015,-105.27,46.4212,6.267,1
9258656_L,9258656_R1,100,100,46.3888,6.2393,39.8028,-105.0869,1
9736601_L,9736601_R1,100,100,40.015,-105.27,46.4212,6.267,1
9788125_L,9788125_R1,100,100,39.8028,-105.0869,46.4657,6.8951,1
9788125_L,9788125_R2,100,100,39.8028,-105.0869,33.8719,35.5097,1
9788125_R1,9788125_R2,100,100,46.4657,6.8951,33.8719,35.5097,0
7930829_L,7930829_R1,100,100,41.8097,-72.8311,53.3694,-1.4944,1
8549755_L,8549755_R1,100,100,47.2488,6.0182,41.8097,-72.8311,1
8833626_L,8833626_R1,100,100,41.9667,-71.55,24.1433,120.6814,1
9221161_L,9221161_R1,100,100,41.9667,-71.55,24.1433,120.6814,1
9242359_L,9242359_R1,100,100,45.65,9.15,55.2083,-2.0784,1
9242359_L,9242359_R2,100,100,45.65,9.15,41.5153,-71.7019,1
9242359_L,9242359_R3,100,100,45.65,9.15,24.1433,120.6814,1
9242359_R1,9242359_R2,100,100,55.2083,-2.0784,41.5153,-71.7019,0
9242359_R1,9242359_R3,100,100,55.2083,-2.0784,24.1433,120.6814,0
9242359_R2,9242359_R3,100,100,41.5153,-71.7019,24.1433,120.6814,0
9353739_L,9353739_R1,100,100,35.8028,-88.7747,41.7406,-71.3092,1
8384045_L,8384045_R1,100,100,35.685,139.7514,40.1164,-88.2433,1
9034261_L,9034261_R1,100,100,40.1106,-88.2072,35.4437,139.638,1
9176055_L,9176055_R1,100,100,40.1106,-88.2072,40.015,-105.27,1
9176055_L,9176055_R2,100,100,40.1106,-88.2072,37.5833,139.9167,1
9176055_R1,9176055_R2,100,100,40.015,-105.27,37.5833,139.9167,0
9897530_L,9897530_R1,100,100,33.5336,-82.1308,21.3069,-157.8583,1
7888075_L,7888075_R1,100,100,34.09,-117.8894,38.9981,-77.2886,1
9168523_L,9168523_R1,100,100,33.4269,-117.6111,44.8278,-92.9436,1
9414815_L,9414815_R1,100,100,29.5847,-98.5522,38.9333,-119.9833,1
9828358_L,9828358_R1,100,100,32.7153,-117.1564,40.4775,-74.6272,1
9525551_L,9525551_R1,100,100,42.3317,-71.1217,34.1706,-118.8367,1
9621576_L,9621576_R1,100,100,42.4153,-71.1569,39.1653,-86.5264,1
9667611_L,9667611_R1,100,100,42.3833,-71.4167,51.85,-1.3167,1
9860059_L,9860059_R1,100,100,42.5792,-71.4383,51.85,-1.3167,1
8862271_L,8862271_R1,100,100,34.1992,-118.1869,42.3708,-71.1833,1
9220389_L,9220389_R1,100,100,42.1944,-71.2,34.1478,-118.1436,1
9442488_L,9442488_R1,100,100,34.1992,-118.1869,42.3708,-71.1833,1
9615712_L,9615712_R1,100,100,42.1944,-71.2,34.1478,-118.1436,1
9744670_L,9744670_R1,100,100,42.3764,-71.2361,34.1792,-118.7619,1
7362089_L,7362089_R1,100,100,37.3542,-121.9542,36.2113,139.5342,1
5250228_L,5250228_R1,100,100,37.5483,-121.9875,51.5558,-1.7797,1
