a,b,a_radius,b_radius,a_lat,a_lng,b_lat,b_lng,local_remote
8877900_L,8877900_R1,100,100,40.31,-75.1303,37.3394,-121.8939,1
8957194_L,8957194_R1,100,100,40.31,-75.1303,37.3394,-121.8939,1
8188233_L,8188233_R1,100,100,40.31,-75.1303,37.3394,-121.8939,1
8188234_L,8188234_R1,100,100,40.31,-75.1303,37.3394,-121.8939,1
8188234_L,8188234_R2,100,100,40.31,-75.1303,41.6667,12.5,1
8188234_R1,8188234_R2,100,100,37.3394,-121.8939,41.6667,12.5,0
8697070_L,8697070_R1,100,100,40.31,-75.1303,37.3394,-121.8939,1
8697070_L,8697070_R2,100,100,40.31,-75.1303,41.6667,12.5,1
8697070_R1,8697070_R2,100,100,37.3394,-121.8939,41.6667,12.5,0
8802827_L,8802827_R1,100,100,39.1731,-77.2719,37.3394,-121.8939,1
8877900_L,8877900_R1,100,100,40.31,-75.1303,37.3394,-121.8939,1
8957194_L,8957194_R1,100,100,40.31,-75.1303,37.3394,-121.8939,1
7473502_L,7473502_R1,100,100,42.4472,-71.225,53.9218,-1.1021,1
7473502_L,7473502_R2,100,100,42.4472,-71.225,24.8047,120.9714,1
7473502_R1,7473502_R2,100,100,53.9218,-1.1021,24.8047,120.9714,0
6448926_L,6448926_R1,100,100,39.0181,-77.2089,26.3583,-80.0833,1
9882610_L,9882610_R1,100,100,39.3,-85.2222,45.4872,-122.8025,1
9388455_L,9388455_R1,100,100,42.6881,-88.0514,32.3908,-110.9658,1
9410207_L,9410207_R1,100,100,41.85,-87.65,33.4483,-112.0733,1
9469877_L,9469877_R1,100,100,44.0217,-92.4697,32.3908,-110.9658,1
9617601_L,9617601_R1,100,100,42.0722,-87.7228,32.3908,-110.9658,1
7878485_L,7878485_R1,100,100,40.5886,-83.1286,43.0361,-70.8333,1
7878485_L,7878485_R2,100,100,40.5886,-83.1286,-36.8786,174.728,1
7878485_R1,7878485_R2,100,100,43.0361,-70.8333,-36.8786,174.728,0
8246013_L,8246013_R1,100,100,40.5886,-83.1286,43.0361,-70.8333,1
8246013_L,8246013_R2,100,100,40.5886,-83.1286,-36.8786,174.728,1
8246013_R1,8246013_R2,100,100,43.0361,-70.8333,-36.8786,174.728,0
8353499_L,8353499_R1,100,100,40.5886,-83.1286,43.0361,-70.8333,1
8353499_L,8353499_R2,100,100,40.5886,-83.1286,-36.8786,174.728,1
8353499_R1,8353499_R2,100,100,43.0361,-70.8333,-36.8786,174.728,0
8807536_L,8807536_R1,100,100,40.5886,-83.1286,43.0361,-70.8333,1
8807536_L,8807536_R2,100,100,40.5886,-83.1286,-36.8786,174.728,1
8807536_R1,8807536_R2,100,100,43.0361,-70.8333,-36.8786,174.728,0
9863106_L,9863106_R1,100,100,40.5886,-83.1286,43.0361,-70.8333,1
9863106_L,9863106_R2,100,100,40.5886,-83.1286,-36.8786,174.728,1
9863106_R1,9863106_R2,100,100,43.0361,-70.8333,-36.8786,174.728,0
7075466_L,7075466_R1,100,100,43.6667,-79.4167,33.6189,-117.9281,1
7701512_L,7701512_R1,100,100,33.6189,-117.9281,43.75,-79.2,1
7325374_L,7325374_R1,100,100,42.8694,-71.035,33.8886,-117.8122,1
7332125_L,7332125_R1,100,100,42.1417,-71.25,33.5092,-111.8983,1
5941416_L,5941416_R1,100,100,36.0725,-79.7922,44.8614,-92.6236,1
6664220_L,6664220_R1,100,100,44.8278,-92.9436,36.2444,-80.07,1
7056874_L,7056874_R1,100,100,36.2444,-80.07,44.9239,-92.9592,1
7863237_L,7863237_R1,100,100,36.0725,-79.7922,44.8547,-93.4706,1
7964544_L,7964544_R1,100,100,44.7319,-93.2175,36.0725,-79.7922,1
8372796_L,8372796_R1,100,100,36.0725,-79.7922,44.8547,-93.4706,1
8951956_L,8951956_R1,100,100,45.0097,-93.3489,36.3853,-79.9597,1
8621618_L,8621618_R1,100,100,33.7489,-84.3881,37.3861,-122.0828,1
8931095_L,8931095_R1,100,100,33.7489,-84.3881,41.8239,-71.4133,1
9319426_L,9319426_R1,100,100,30.2669,-97.7428,33.7489,-84.3881,1
9426226_L,9426226_R1,100,100,41.8239,-71.4133,31.78,35.23,1
9560062_L,9560062_R1,100,100,30.2669,-97.7428,33.7489,-84.3881,1
9762626_L,9762626_R1,100,100,41.8239,-71.4133,31.78,35.23,1
7226447_L,7226447_R1,100,100,37.3861,-122.0828,42.5464,-71.1742,1
7655003_L,7655003_R1,100,100,42.9125,-71.125,37.7417,-121.1233,1
7662133_L,7662133_R1,100,100,42.0653,-71.2483,35.0867,-89.81,1
7662133_L,7662133_R2,100,100,42.0653,-71.2483,37.3861,-122.0828,1
7662133_R1,7662133_R2,100,100,35.0867,-89.81,37.3861,-122.0828,0
7942881_L,7942881_R1,100,100,42.5,-70.8583,39.645,-106.5936,1
7951142_L,7951142_R1,100,100,37.3861,-122.0828,43.0972,-89.5042,1
7951142_L,7951142_R2,100,100,37.3861,-122.0828,42.8583,-70.9306,1
7951142_R1,7951142_R2,100,100,43.0972,-89.5042,42.8583,-70.9306,0
8052675_L,8052675_R1,100,100,42.9125,-71.125,37.7417,-121.1233,1
8066700_L,8066700_R1,100,100,42.7344,-71.325,42.9608,-89.4697,1
8066700_L,8066700_R2,100,100,42.7344,-71.325,37.3861,-122.0828,1
8066700_R1,8066700_R2,100,100,42.9608,-89.4697,37.3861,-122.0828,0
8348934_L,8348934_R1,100,100,42.9125,-71.125,37.7417,-121.1233,1
8377058_L,8377058_R1,100,100,37.3861,-122.0828,43.0972,-89.5042,1
8377058_L,8377058_R2,100,100,37.3861,-122.0828,42.8583,-70.9306,1
8377058_R1,8377058_R2,100,100,43.0972,-89.5042,42.8583,-70.9306,0
8500734_L,8500734_R1,100,100,37.3861,-122.0828,43.0972,-89.5042,1
8500734_L,8500734_R2,100,100,37.3861,-122.0828,42.8583,-70.9306,1
8500734_R1,8500734_R2,100,100,43.0972,-89.5042,42.8583,-70.9306,0
8603082_L,8603082_R1,100,100,42.9125,-71.125,37.7417,-121.1233,1
8758367_L,8758367_R1,100,100,42.0333,-71.2194,30.2394,-81.3858,1
8758367_L,8758367_R2,100,100,42.0333,-71.2194,39.6403,-106.3736,1
8758367_R1,8758367_R2,100,100,30.2394,-81.3858,39.6403,-106.3736,0
8795312_L,8795312_R1,100,100,42.5,-70.8583,39.645,-106.5936,1
8956347_L,8956347_R1,100,100,42.9125,-71.125,37.7417,-121.1233,1
9155547_L,9155547_R1,100,100,42.5,-70.8583,39.645,-106.5936,1
9370397_L,9370397_R1,100,100,37.3861,-122.0828,43.0972,-89.5042,1
9370397_L,9370397_R2,100,100,37.3861,-122.0828,42.8583,-70.9306,1
9370397_R1,9370397_R2,100,100,43.0972,-89.5042,42.8583,-70.9306,0
9439705_L,9439705_R1,100,100,42.5,-70.8583,39.645,-106.5936,1
9572564_L,9572564_R1,100,100,42.0333,-71.2194,30.2394,-81.3858,1
9572564_L,9572564_R2,100,100,42.0333,-71.2194,39.6403,-106.3736,1
9572564_R1,9572564_R2,100,100,30.2394,-81.3858,39.6403,-106.3736,0
9931150_L,9931150_R1,100,100,42.0333,-71.2194,30.2394,-81.3858,1
9931150_L,9931150_R2,100,100,42.0333,-71.2194,39.645,-106.5936,1
9931150_R1,9931150_R2,100,100,30.2394,-81.3858,39.645,-106.5936,0
7477206_L,7477206_R1,100,100,34.0522,-118.2428,43.5094,-80.4625,1
7508589_L,7508589_R1,100,100,34.0522,-118.2428,40.015,-105.27,1
7583437_L,7583437_R1,100,100,34.0522,-118.2428,43.5094,-80.4625,1
7633666_L,7633666_R1,100,100,34.0522,-118.2428,43.5094,-80.4625,1
7670004_L,7670004_R1,100,100,34.0522,-118.2428,43.5094,-80.4625,1
8803269_L,8803269_R1,100,100,40.6347,-75.5847,37.3797,-122.1364,1
8830466_L,8830466_R1,100,100,37.5483,-121.9875,40.6347,-75.5847,1
8876410_L,8876410_R1,100,100,40.6083,-75.4906,37.3797,-122.1364,1
8905632_L,8905632_R1,100,100,40.6347,-75.5847,37.5483,-121.9875,1
9031107_L,9031107_R1,100,100,40.6347,-75.5847,37.3394,-121.8939,1
9052445_L,9052445_R1,100,100,40.6347,-75.5847,37.3797,-122.1364,1
9213152_L,9213152_R1,100,100,40.6347,-75.5847,37.3797,-122.1364,1
9235019_L,9235019_R1,100,100,40.6083,-75.4906,37.3394,-121.8939,1
9261652_L,9261652_R1,100,100,40.5367,-75.6317,37.3797,-122.1364,1
9343450_L,9343450_R1,100,100,40.6347,-75.5847,37.3797,-122.1364,1
9417412_L,9417412_R1,100,100,37.5483,-121.9875,40.6347,-75.5847,1
9435965_L,9435965_R1,100,100,40.6083,-75.4906,37.3797,-122.1364,1
9575266_L,9575266_R1,100,100,40.6347,-75.5847,37.3797,-122.1364,1
9575337_L,9575337_R1,100,100,40.6258,-75.3708,37.3542,-121.9542,1
9793902_L,9793902_R1,100,100,37.3394,-121.8939,32.9481,-96.7294,1
9793902_L,9793902_R2,100,100,37.3394,-121.8939,40.7061,-74.5497,1
9793902_R1,9793902_R2,100,100,32.9481,-96.7294,40.7061,-74.5497,0
9835809_L,9835809_R1,100,100,40.6347,-75.5847,37.5483,-121.9875,1
9939580_L,9939580_R1,100,100,37.3394,-121.8939,40.5367,-75.6317,1
9964719_L,9964719_R1,100,100,37.5842,-122.365,40.5367,-75.6317,1
9971096_L,9971096_R1,100,100,40.6083,-75.4906,37.3394,-121.8939,1
9076901_L,9076901_R1,100,100,51.497,11.9688,41.5569,-83.6272,1
9076901_L,9076901_R2,100,100,51.497,11.9688,38.6781,-121.175,1
9076901_R1,9076901_R2,100,100,41.5569,-83.6272,38.6781,-121.175,0
8672649_L,8672649_R1,100,100,37.9886,-84.4778,-26.442,153.011,1
8255650_L,8255650_R1,100,100,42.2833,-71.35,31.0456,121.3997,1
9879283_L,9879283_R1,100,100,33.1581,-117.3497,48.15,11.5833,1
8546460_L,8546460_R1,100,100,47.3546,8.4376,35.1494,-90.0489,1
8737620_L,8737620_R1,100,100,52.3667,4.65,45.4167,-75.7,1
8958558_L,8958558_R1,100,100,52.3667,4.65,45.4167,-75.7,1
9455834_L,9455834_R1,100,100,52.3667,4.65,45.4167,-75.7,1
9588756_L,9588756_R1,100,100,45.4167,-75.7,47.6106,-122.1994,1
9811666_L,9811666_R1,100,100,45.4167,-75.7,43.2364,-87.9844,1
9866381_L,9866381_R1,100,100,52.3667,4.65,45.4167,-75.7,1
9906360_L,9906360_R1,100,100,45.4167,-75.7,43.2364,-87.9844,1
9965623_L,9965623_R1,100,100,45.4167,-75.7,43.2364,-87.9844,1
9255363_L,9255363_R1,100,100,61.3667,16.9833,-29.9345,27.0579,1
9202821_L,9202821_R1,100,100,37.5631,-122.3244,40.4167,-86.8753,1
9322869_L,9322869_R1,100,100,32.8472,-117.2733,43.6614,-70.2558,1
9423449_L,9423449_R1,100,100,32.8472,-117.2733,43.6614,-70.2558,1
9440848_L,9440848_R1,100,100,34.8767,136.4149,37.2872,-121.9489,1
9440848_L,9440848_R2,100,100,34.8767,136.4149,42.3369,-71.2097,1
9440848_R1,9440848_R2,100,100,37.2872,-121.9489,42.3369,-71.2097,0
6941813_L,6941813_R1,100,100,32.7253,-97.3206,33.5225,-117.7067,1
7350916_L,7350916_R1,100,100,32.7356,-97.1078,41.6897,-87.7972,1
7476248_L,7476248_R1,100,100,32.9125,-96.6386,33.4222,-111.8219,1
7717558_L,7717558_R1,100,100,32.7356,-97.1078,41.6897,-87.7972,1
6637027_L,6637027_R1,100,100,47.6742,-122.1203,36.9742,-122.0297,1
6862027_L,6862027_R1,100,100,47.6817,-122.2075,37.3689,-122.0353,1
6947935_L,6947935_R1,100,100,47.6817,-122.2075,37.775,-122.4183,1
7064675_L,7064675_R1,100,100,37.4539,-122.1811,47.6064,-122.3308,1
7188188_L,7188188_R1,100,100,47.6064,-122.3308,37.3689,-122.0353,1
7230560_L,7230560_R1,100,100,37.4419,-122.1419,47.6106,-122.1994,1
7333114_L,7333114_R1,100,100,47.6817,-122.2075,37.3689,-122.0353,1
7339505_L,7339505_R1,100,100,37.4419,-122.1419,47.6106,-122.1994,1
7355601_L,7355601_R1,100,100,44.0217,-92.4697,47.5303,-122.0314,1
7355601_L,7355601_R2,100,100,44.0217,-92.4697,37.3689,-122.0353,1
7355601_R1,7355601_R2,100,100,47.5303,-122.0314,37.3689,-122.0353,0
7356668_L,7356668_R1,100,100,47.6742,-122.1203,37.3689,-122.0353,1
7370129_L,7370129_R1,100,100,37.775,-122.4183,47.6742,-122.1203,1
7403887_L,7403887_R1,100,100,37.2872,-121.9489,47.6211,-122.2264,1
7403935_L,7403935_R1,100,100,47.6817,-122.2075,37.775,-122.4183,1
7440950_L,7440950_R1,100,100,47.6817,-122.2075,37.775,-122.4183,1
7444523_L,7444523_R1,100,100,47.6742,-122.1203,37.3689,-122.0353,1
7451151_L,7451151_R1,100,100,47.6817,-122.2075,37.775,-122.4183,1
7477653_L,7477653_R1,100,100,37.775,-122.4183,47.6742,-122.1203,1
7480382_L,7480382_R1,100,100,48.0797,-123.1006,37.3861,-122.0828,1
7480701_L,7480701_R1,100,100,37.775,-122.4183,47.6742,-122.1203,1
7480701_L,7480701_R2,100,100,37.775,-122.4183,47.969,7.6987,1
7480701_R1,7480701_R2,100,100,47.6742,-122.1203,47.969,7.6987,0
7487448_L,7487448_R1,100,100,47.6742,-122.1203,37.3861,-122.0828,1
7492277_L,7492277_R1,100,100,37.4539,-122.1811,47.6064,-122.3308,1
7492278_L,7492278_R1,100,100,37.4539,-122.1811,47.6064,-122.3308,1
7502820_L,7502820_R1,100,100,47.6106,-122.1994,37.3861,-122.0828,1
7505012_L,7505012_R1,100,100,37.3394,-121.8939,46.0419,-117.3386,1
7505033_L,7505033_R1,100,100,31.8639,117.2808,47.6817,-122.2075,1
7506355_L,7506355_R1,100,100,37.3394,-121.8939,47.6817,-122.2075,1
7516140_L,7516140_R1,100,100,37.4419,-122.1419,47.6211,-122.2264,1
7516140_L,7516140_R2,100,100,37.4419,-122.1419,33.5336,-82.1308,1
7516140_R1,7516140_R2,100,100,47.6211,-122.2264,33.5336,-82.1308,0
7519899_L,7519899_R1,100,100,37.3861,-122.0828,47.5708,-122.2208,1
7529736_L,7529736_R1,100,100,47.6106,-122.1994,33.7489,-84.3881,1
7596692_L,7596692_R1,100,100,47.6064,-122.3308,37.5028,-122.4683,1
7634652_L,7634652_R1,100,100,47.6064,-122.3308,38.5789,-122.5786,1
7644427_L,7644427_R1,100,100,47.6817,-122.2075,37.775,-122.4183,1
7647365_L,7647365_R1,100,100,47.6817,-122.2075,37.775,-122.4183,1
7653802_L,7653802_R1,100,100,47.6742,-122.1203,37.3689,-122.0353,1
7657922_L,7657922_R1,100,100,47.6064,-122.3308,37.3853,-122.1131,1
