a,b,a_radius,b_radius,a_lat,a_lng,b_lat,b_lng,local_remote
8647860_L,8647860_R1,100,100,32.2217,-110.9258,32.2217,-110.9258,1
8802091_L,8802091_R1,100,100,39.0444,-77.1192,39.0444,-77.1192,1
9150656_L,9150656_R1,100,100,39.0444,-77.1192,39.0444,-77.1192,1
9441049_L,9441049_R1,100,100,39.0444,-77.1192,39.0444,-77.1192,1
9714295_L,9714295_R1,100,100,39.0444,-77.1192,39.0444,-77.1192,1
9714296_L,9714296_R1,100,100,39.0444,-77.1192,39.0444,-77.1192,1
9896508_L,9896508_R1,100,100,39.0828,-77.2653,39.0828,-77.2653,1
