patent_id,number_of_inventors,number_of_local_inventors,number_of_remote_inventors,number_of_clusters (local+remote),radius_local,radius_remote,local_cluster,nonlocal_cluster,remote_cluster
8352004,4,3,1,2,1000,1000,"{'number_of_inventors_in_cluster': 3, 'locations': '(37.8217,-121.9989); (37.3842,-122.2342); (37.3139,-121.0197)', 'center_lat': 37.3842, 'center_lng': -122.2342, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 1, 'locations': '(44.8547,-93.4706)', 'center_lat': 44.8547, 'center_lng': -93.4706, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 2532.8194620526133}]"
8357157,3,3,0,1,1000,1000,"{'number_of_inventors_in_cluster': 3, 'locations': '(37.3394,-121.8939); (37.3394,-121.8939); (37.4539,-122.1811)', 'center_lat': 37.3394, 'center_lng': -121.8939, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8361061,5,5,0,1,1000,1000,"{'number_of_inventors_in_cluster': 5, 'locations': '(37.3394,-121.8939); (37.4539,-122.1811); (37.3394,-121.8939); (37.3394,-121.8939); (37.3394,-121.8939)', 'center_lat': 37.3394, 'center_lng': -121.8939, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8372014,6,5,1,2,1000,1000,"{'number_of_inventors_in_cluster': 5, 'locations': '(41.9761,-72.5922); (41.8083,-72.25); (41.42,-73.2825); (41.3958,-72.8972); (41.3908,-72.86)', 'center_lat': 41.42, 'center_lng': -73.2825, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 1, 'locations': '(33.8492,-118.3875)', 'center_lat': 33.8492, 'center_lng': -118.3875, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 4013.30387649862}]"
8386010,2,1,1,2,1000,1000,"{'number_of_inventors_in_cluster': 1, 'locations': '(41.42,-73.2825)', 'center_lat': 41.42, 'center_lng': -73.2825, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 1, 'locations': '(37.4853,-122.2353)', 'center_lat': 37.4853, 'center_lng': -122.2353, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 4169.791320875937}]"
8403197,4,4,0,1,1000,1000,"{'number_of_inventors_in_cluster': 4, 'locations': '(34.4208,-119.6972); (34.4358,-119.8267); (34.4208,-119.6972); (34.4358,-119.8267)', 'center_lat': 34.4208, 'center_lng': -119.6972, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8414604,7,7,0,1,1000,1000,"{'number_of_inventors_in_cluster': 7, 'locations': '(37.4419,-122.1419); (37.3394,-121.8939); (38.6447,-121.2711); (37.4539,-122.1811); (37.3394,-121.8939); (37.5072,-122.2594); (37.4539,-122.1811)', 'center_lat': 37.3394, 'center_lng': -121.8939, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8443294,3,2,1,2,1000,1000,"{'number_of_inventors_in_cluster': 2, 'locations': '(32.7153,-117.1564); (32.5839,-117.1122)', 'center_lat': 32.7153, 'center_lng': -117.1564, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 1, 'locations': '(32.7833,-96.8)', 'center_lat': 32.7833, 'center_lng': -96.8, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 1900.7903219653717}]"
8535290,6,6,0,1,1000,1000,"{'number_of_inventors_in_cluster': 6, 'locations': '(37.2267,-121.9736); (37.2872,-121.9489); (37.4419,-122.1419); (37.4419,-122.1419); (37.4419,-122.1419); (37.4419,-122.1419)', 'center_lat': 37.4419, 'center_lng': -122.1419, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8545447,6,6,0,1,1000,1000,"{'number_of_inventors_in_cluster': 6, 'locations': '(37.2267,-121.9736); (34.0522,-118.2428); (37.3689,-122.0353); (37.3689,-122.0353); (37.4419,-122.1419); (37.4419,-122.1419)', 'center_lat': 34.0522, 'center_lng': -118.2428, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8562673,8,8,0,1,1000,1000,"{'number_of_inventors_in_cluster': 8, 'locations': '(38.4406,-122.7133); (38.4406,-122.7133); (38.4406,-122.7133); (38.4406,-122.7133); (38.4406,-122.7133); (38.4406,-122.7133); (38.4406,-122.7133); (37.9736,-122.53)', 'center_lat': 38.4406, 'center_lng': -122.7133, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8579919,5,5,0,1,1000,1000,"{'number_of_inventors_in_cluster': 5, 'locations': '(37.5586,-122.27); (37.5072,-122.2594); (37.3861,-122.0828); (37.5072,-122.2594); (37.5072,-122.2594)', 'center_lat': 37.3861, 'center_lng': -122.0828, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8579926,4,4,0,1,1000,1000,"{'number_of_inventors_in_cluster': 4, 'locations': '(33.6408,-117.6022); (33.8353,-117.9136); (33.6694,-117.8222); (32.7153,-117.1564)', 'center_lat': 33.8353, 'center_lng': -117.9136, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8622916,3,2,1,2,1000,1000,"{'number_of_inventors_in_cluster': 2, 'locations': '(37.8044,-122.2697); (32.5839,-117.1122)', 'center_lat': 32.5839, 'center_lng': -117.1122, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 1, 'locations': '(40.7142,-74.0064)', 'center_lat': 40.7142, 'center_lng': -74.0064, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 3909.3893491900644}]"
8628523,3,2,1,2,1000,1000,"{'number_of_inventors_in_cluster': 2, 'locations': '(40.1672,-105.1014); (40.015,-105.27)', 'center_lat': 40.015, 'center_lng': -105.27, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 1, 'locations': '(37.3689,-122.0353)', 'center_lat': 37.3689, 'center_lng': -122.0353, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 1482.136610475971}]"
8663213,4,3,1,2,1000,1000,"{'number_of_inventors_in_cluster': 3, 'locations': '(37.3689,-122.0353); (37.3853,-122.1131); (37.775,-122.4183)', 'center_lat': 37.775, 'center_lng': -122.4183, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 1, 'locations': '(40.015,-105.27)', 'center_lat': 40.015, 'center_lng': -105.27, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 1502.3781202117716}]"
8663304,5,5,0,1,1000,1000,"{'number_of_inventors_in_cluster': 5, 'locations': '(33.4269,-117.6111); (33.4269,-117.6111); (33.4269,-117.6111); (33.4269,-117.6111); (33.4269,-117.6111)', 'center_lat': 33.4269, 'center_lng': -117.6111, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8672933,3,2,1,2,1000,1000,"{'number_of_inventors_in_cluster': 2, 'locations': '(40.0503,-105.0494); (40.015,-105.27)', 'center_lat': 40.015, 'center_lng': -105.27, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 1, 'locations': '(37.3689,-122.0353)', 'center_lat': 37.3689, 'center_lng': -122.0353, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 1482.136610475971}]"
8700116,4,4,0,1,1000,1000,"{'number_of_inventors_in_cluster': 4, 'locations': '(40.2247,-105.2708); (39.7556,-105.2206); (40.2247,-105.2708); (40.015,-105.27)', 'center_lat': 40.2247, 'center_lng': -105.2708, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8721639,3,3,0,1,1000,1000,"{'number_of_inventors_in_cluster': 3, 'locations': '(37.3394,-121.8939); (37.3394,-121.8939); (37.4539,-122.1811)', 'center_lat': 37.3394, 'center_lng': -121.8939, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8740893,4,2,2,2,1000,1000,"{'number_of_inventors_in_cluster': 2, 'locations': '(37.4853,-122.2353); (37.3689,-122.0353)', 'center_lat': 37.3689, 'center_lng': -122.0353, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 2, 'locations': '(40.015,-105.27); (40.015,-105.27)', 'center_lat': 40.015, 'center_lng': -105.27, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 1482.136610475971}]"
8747434,3,3,0,1,1000,1000,"{'number_of_inventors_in_cluster': 3, 'locations': '(39.7392,-104.9842); (39.9936,-105.0892); (40.015,-105.27)', 'center_lat': 40.015, 'center_lng': -105.27, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8758243,7,6,1,2,1000,1000,"{'number_of_inventors_in_cluster': 6, 'locations': '(34.2175,-118.3694); (37.8044,-122.2697); (37.78,-121.9769); (37.6625,-121.8736); (37.4283,-121.9056); (37.9578,-121.2897)', 'center_lat': 37.78, 'center_lng': -121.9769, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 1, 'locations': '(47.6064,-122.3308)', 'center_lat': 47.6064, 'center_lng': -122.3308, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 1093.0252366244754}]"
8764765,8,6,2,2,1000,1000,"{'number_of_inventors_in_cluster': 6, 'locations': '(41.2222,-73.0569); (41.4569,-72.8236); (41.3967,-73.0764); (41.3081,-72.9286); (40.3764,-74.2447); (41.2428,-73.2011)', 'center_lat': 41.2428, 'center_lng': -73.2011, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 2, 'locations': '(32.8156,34.9892); (32.8156,34.9892)', 'center_lat': 32.8156, 'center_lng': 34.9892, 'country': 'Israel', 'geographical_relationship:': 'cross border', 'haversine_distance_to_local': 8983.779981396703}]"
8784333,6,5,1,2,1000,1000,"{'number_of_inventors_in_cluster': 5, 'locations': '(37.5203,-122.2747); (37.5072,-122.2594); (37.3394,-121.8939); (37.3542,-121.9542); (37.5275,-122.5122)', 'center_lat': 37.3542, 'center_lng': -121.9542, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 1, 'locations': '(32.5006,-94.7403)', 'center_lat': 32.5006, 'center_lng': -94.7403, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 2529.6394127441604}]"
8795266,5,5,0,1,1000,1000,"{'number_of_inventors_in_cluster': 5, 'locations': '(37.3394,-121.8939); (37.4539,-122.1811); (37.3394,-121.8939); (37.3394,-121.8939); (37.3394,-121.8939)', 'center_lat': 37.3394, 'center_lng': -121.8939, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8808282,6,4,2,2,1000,1000,"{'number_of_inventors_in_cluster': 4, 'locations': '(37.3853,-122.1131); (37.3689,-122.0353); (37.2639,-122.0219); (37.3842,-122.2342)', 'center_lat': 37.3842, 'center_lng': -122.2342, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 2, 'locations': '(40.1672,-105.1014); (40.015,-105.27)', 'center_lat': 40.1672, 'center_lng': -105.1014, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 1514.5482397347544}]"
8855734,4,3,1,2,1000,1000,"{'number_of_inventors_in_cluster': 3, 'locations': '(37.8217,-121.9989); (37.3842,-122.2342); (37.3139,-121.0197)', 'center_lat': 37.3842, 'center_lng': -122.2342, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 1, 'locations': '(44.8547,-93.4706)', 'center_lat': 44.8547, 'center_lng': -93.4706, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 2532.8194620526133}]"
8876708,5,5,0,1,1000,1000,"{'number_of_inventors_in_cluster': 5, 'locations': '(41.3967,-73.0764); (41.3081,-72.9286); (40.3764,-74.2447); (41.1414,-73.3583); (41.2428,-73.2011)', 'center_lat': 41.2428, 'center_lng': -73.2011, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8888695,5,5,0,1,1000,1000,"{'number_of_inventors_in_cluster': 5, 'locations': '(41.2428,-73.2011); (40.65,-73.95); (41.3967,-73.0764); (41.3081,-72.9286); (41.1414,-73.3583)', 'center_lat': 41.3081, 'center_lng': -72.9286, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8911365,5,5,0,1,1000,1000,"{'number_of_inventors_in_cluster': 5, 'locations': '(41.3967,-73.0764); (41.3081,-72.9286); (40.3764,-74.2447); (41.1414,-73.3583); (41.2428,-73.2011)', 'center_lat': 41.2428, 'center_lng': -73.2011, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8911459,6,5,1,2,1000,1000,"{'number_of_inventors_in_cluster': 5, 'locations': '(37.43,-122.2528); (37.3542,-121.9542); (37.3689,-122.0353); (37.3394,-121.8939); (37.5072,-122.2594)', 'center_lat': 37.43, 'center_lng': -122.2528, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 1, 'locations': '(32.5006,-94.7403)', 'center_lat': 32.5006, 'center_lng': -94.7403, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 2556.557050741896}]"
8961407,10,8,2,2,1000,1000,"{'number_of_inventors_in_cluster': 8, 'locations': '(41.7692,-72.965); (41.3967,-73.0764); (41.3081,-72.9286); (40.3764,-74.2447); (41.7244,-73.2367); (41.3325,-73.2078); (41.1414,-73.3583); (41.2428,-73.2011)', 'center_lat': 41.2428, 'center_lng': -73.2011, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 2, 'locations': '(32.8156,34.9892); (32.8156,34.9892)', 'center_lat': 32.8156, 'center_lng': 34.9892, 'country': 'Israel', 'geographical_relationship:': 'cross border', 'haversine_distance_to_local': 8983.779981396703}]"
8974452,4,3,1,2,1000,1000,"{'number_of_inventors_in_cluster': 3, 'locations': '(37.3689,-122.0353); (37.3853,-122.1131); (37.775,-122.4183)', 'center_lat': 37.775, 'center_lng': -122.4183, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 1, 'locations': '(40.015,-105.27)', 'center_lat': 40.015, 'center_lng': -105.27, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 1502.3781202117716}]"
8974524,8,6,2,2,1000,1000,"{'number_of_inventors_in_cluster': 6, 'locations': '(38.4406,-122.7133); (38.4406,-122.7133); (38.4406,-122.7133); (38.4406,-122.7133); (38.4406,-122.7133); (38.4406,-122.7133)', 'center_lat': 38.4406, 'center_lng': -122.7133, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 2, 'locations': '(44.98,-93.2636); (44.98,-93.2636)', 'center_lat': 44.98, 'center_lng': -93.2636, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 2534.5500872383045}]"
8978657,6,6,0,1,1000,1000,"{'number_of_inventors_in_cluster': 6, 'locations': '(40.0503,-105.0494); (40.1672,-105.1014); (40.015,-105.27); (39.8856,-104.9867); (40.2247,-105.2708); (40.1672,-105.1014)', 'center_lat': 40.2247, 'center_lng': -105.2708, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8986241,6,6,0,1,1000,1000,"{'number_of_inventors_in_cluster': 6, 'locations': '(37.2872,-121.9489); (37.4419,-122.1419); (37.4419,-122.1419); (37.4419,-122.1419); (37.4419,-122.1419); (37.2639,-122.0219)', 'center_lat': 37.4419, 'center_lng': -122.1419, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8998937,4,4,0,1,1000,1000,"{'number_of_inventors_in_cluster': 4, 'locations': '(37.43,-122.2528); (37.3394,-121.8939); (37.6625,-121.8736); (37.4419,-122.1419)', 'center_lat': 37.43, 'center_lng': -122.2528, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8998980,3,2,1,2,1000,1000,"{'number_of_inventors_in_cluster': 2, 'locations': '(37.9736,-122.53); (38.4406,-122.7133)', 'center_lat': 38.4406, 'center_lng': -122.7133, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 1, 'locations': '(45.0792,-93.1469)', 'center_lat': 45.0792, 'center_lng': -93.1469, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 2544.8831688593846}]"
9011486,5,3,2,3,1000,1000,"{'number_of_inventors_in_cluster': 3, 'locations': '(38.2383,-122.0392); (38.4406,-122.7133); (38.5472,-122.8153)', 'center_lat': 38.5472, 'center_lng': -122.8153, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 1, 'locations': '(47.6589,-117.425)', 'center_lat': 47.6589, 'center_lng': -117.425, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 1102.9508898999588}, {'number_of_inventors_in_cluster': 1, 'locations': '(35.8217,-84.0481)', 'center_lat': 35.8217, 'center_lng': -84.0481, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 3422.2867626059524}]"
9039691,7,6,1,2,1000,1000,"{'number_of_inventors_in_cluster': 6, 'locations': '(40.015,-105.27); (40.015,-105.27); (40.0992,-104.9367); (39.6333,-105.3167); (39.7392,-104.9842); (39.9206,-105.0861)', 'center_lat': 39.7392, 'center_lng': -104.9842, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 1, 'locations': '(37.4539,-122.1811)', 'center_lat': 37.4539, 'center_lng': -122.1811, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 1513.5033993310585}]"
9072524,11,9,2,3,1000,1000,"{'number_of_inventors_in_cluster': 9, 'locations': '(40.015,-105.27); (40.0992,-104.9367); (40.1672,-105.1014); (39.6333,-105.3167); (39.7392,-104.9842); (40.3978,-105.0744); (39.9206,-105.0861); (39.7556,-105.2206); (39.8367,-105.0367)', 'center_lat': 39.7392, 'center_lng': -104.9842, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 1, 'locations': '(37.4539,-122.1811)', 'center_lat': 37.4539, 'center_lng': -122.1811, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 1513.5033993310585}, {'number_of_inventors_in_cluster': 1, 'locations': '(34.9247,-81.0253)', 'center_lat': 34.9247, 'center_lng': -81.0253, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 2177.701679907995}]"
9078682,3,3,0,1,1000,1000,"{'number_of_inventors_in_cluster': 3, 'locations': '(33.6694,-117.8222); (33.6694,-117.8222); (33.6694,-117.8222)', 'center_lat': 33.6694, 'center_lng': -117.8222, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
9084608,3,3,0,1,1000,1000,"{'number_of_inventors_in_cluster': 3, 'locations': '(39.7392,-104.9842); (39.9936,-105.0892); (40.015,-105.27)', 'center_lat': 40.015, 'center_lng': -105.27, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
9084835,3,1,2,3,1000,1000,"{'number_of_inventors_in_cluster': 1, 'locations': '(38.4406,-122.7133)', 'center_lat': 38.4406, 'center_lng': -122.7133, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 1, 'locations': '(47.6589,-117.425)', 'center_lat': 47.6589, 'center_lng': -117.425, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 1110.7789566042004}, {'number_of_inventors_in_cluster': 1, 'locations': '(35.8217,-84.0481)', 'center_lat': 35.8217, 'center_lng': -84.0481, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 3414.9707554648203}]"
9114181,9,9,0,1,1000,1000,"{'number_of_inventors_in_cluster': 9, 'locations': '(40.1672,-105.1014); (40.015,-105.27); (40.1672,-105.1014); (40.015,-105.27); (40.015,-105.27); (39.7392,-104.9842); (39.9936,-105.0892); (40.3978,-105.0744); (40.485,-106.8311)', 'center_lat': 40.015, 'center_lng': -105.27, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
